Configuration 3:  

0.322468 - 0.325022 	x: 0.323745 	n: 26
0.325022 - 0.327576 	x: 0.326299 	n: 29
0.327576 - 0.33013 	x: 0.328853 	n: 41
0.33013 - 0.332684 	x: 0.331407 	n: 57
0.332684 - 0.335238 	x: 0.333961 	n: 57
0.335238 - 0.337792 	x: 0.336515 	n: 51
0.337792 - 0.340346 	x: 0.339069 	n: 58
0.340346 - 0.3429 	x: 0.341623 	n: 83
0.3429 - 0.345454 	x: 0.344177 	n: 98
0.345454 - 0.348008 	x: 0.346731 	n: 117
0.348008 - 0.350562 	x: 0.349285 	n: 130
0.350562 - 0.353116 	x: 0.351839 	n: 163
0.353116 - 0.35567 	x: 0.354393 	n: 186
0.35567 - 0.358224 	x: 0.356947 	n: 215
0.358224 - 0.360778 	x: 0.359501 	n: 250
0.360778 - 0.363332 	x: 0.362055 	n: 302
0.363332 - 0.365886 	x: 0.364609 	n: 367
0.365886 - 0.36844 	x: 0.367163 	n: 450
0.36844 - 0.370994 	x: 0.369717 	n: 559
0.370994 - 0.373548 	x: 0.372271 	n: 739
0.373548 - 0.376102 	x: 0.374825 	n: 1000
0.376102 - 0.378656 	x: 0.377379 	n: 1442
0.378656 - 0.38121 	x: 0.379933 	n: 1213
0.38121 - 0.383764 	x: 0.382487 	n: 1085
0.383764 - 0.386318 	x: 0.385041 	n: 965
0.386318 - 0.388873 	x: 0.387596 	n: 975
0.388873 - 0.391427 	x: 0.39015 	n: 1028
0.391427 - 0.393981 	x: 0.392704 	n: 1136
0.393981 - 0.396535 	x: 0.395258 	n: 1560
0.396535 - 0.399089 	x: 0.397812 	n: 1327
0.399089 - 0.401643 	x: 0.400366 	n: 957
0.401643 - 0.404197 	x: 0.40292 	n: 733
0.404197 - 0.406751 	x: 0.405474 	n: 543
0.406751 - 0.409305 	x: 0.408028 	n: 394
0.409305 - 0.411859 	x: 0.410582 	n: 304
0.411859 - 0.414413 	x: 0.413136 	n: 236
0.414413 - 0.416967 	x: 0.41569 	n: 207
0.416967 - 0.419521 	x: 0.418244 	n: 178
0.419521 - 0.422075 	x: 0.420798 	n: 150
0.422075 - 0.424629 	x: 0.423352 	n: 134
0.424629 - 0.427183 	x: 0.425906 	n: 111
0.427183 - 0.429737 	x: 0.42846 	n: 95
0.429737 - 0.432291 	x: 0.431014 	n: 84
0.432291 - 0.434845 	x: 0.433568 	n: 71
0.434845 - 0.437399 	x: 0.436122 	n: 65
0.437399 - 0.439953 	x: 0.438676 	n: 56
0.439953 - 0.442507 	x: 0.44123 	n: 50
0.442507 - 0.445061 	x: 0.443784 	n: 21
0.445061 - 0.447615 	x: 0.446338 	n: 6
0.447615 - 0.450169 	x: 0.448892 	n: 15
