Configuration 1:  

0.289612 - 0.291609 	x: 0.29061 	n: 18
0.291609 - 0.293606 	x: 0.292607 	n: 7
0.293606 - 0.295603 	x: 0.294604 	n: 23
0.295603 - 0.2976 	x: 0.296601 	n: 24
0.2976 - 0.299596 	x: 0.298598 	n: 34
0.299596 - 0.301593 	x: 0.300595 	n: 29
0.301593 - 0.30359 	x: 0.302592 	n: 38
0.30359 - 0.305587 	x: 0.304589 	n: 41
0.305587 - 0.307584 	x: 0.306586 	n: 60
0.307584 - 0.309581 	x: 0.308583 	n: 51
0.309581 - 0.311578 	x: 0.310579 	n: 74
0.311578 - 0.313575 	x: 0.312576 	n: 70
0.313575 - 0.315572 	x: 0.314573 	n: 92
0.315572 - 0.317569 	x: 0.31657 	n: 112
0.317569 - 0.319566 	x: 0.318567 	n: 109
0.319566 - 0.321562 	x: 0.320564 	n: 154
0.321562 - 0.323559 	x: 0.322561 	n: 160
0.323559 - 0.325556 	x: 0.324558 	n: 203
0.325556 - 0.327553 	x: 0.326555 	n: 288
0.327553 - 0.32955 	x: 0.328552 	n: 432
0.32955 - 0.331547 	x: 0.330548 	n: 547
0.331547 - 0.333544 	x: 0.332545 	n: 751
0.333544 - 0.335541 	x: 0.334542 	n: 648
0.335541 - 0.337538 	x: 0.336539 	n: 536
0.337538 - 0.339534 	x: 0.338536 	n: 524
0.339534 - 0.341531 	x: 0.340533 	n: 567
0.341531 - 0.343528 	x: 0.34253 	n: 616
0.343528 - 0.345525 	x: 0.344527 	n: 733
0.345525 - 0.347522 	x: 0.346524 	n: 693
0.347522 - 0.349519 	x: 0.348521 	n: 585
0.349519 - 0.351516 	x: 0.350517 	n: 360
0.351516 - 0.353513 	x: 0.352514 	n: 233
0.353513 - 0.35551 	x: 0.354511 	n: 212
0.35551 - 0.357507 	x: 0.356508 	n: 152
0.357507 - 0.359504 	x: 0.358505 	n: 155
0.359504 - 0.3615 	x: 0.360502 	n: 114
0.3615 - 0.363497 	x: 0.362499 	n: 82
0.363497 - 0.365494 	x: 0.364496 	n: 80
0.365494 - 0.367491 	x: 0.366493 	n: 63
0.367491 - 0.369488 	x: 0.36849 	n: 53
0.369488 - 0.371485 	x: 0.370486 	n: 81
0.371485 - 0.373482 	x: 0.372483 	n: 62
0.373482 - 0.375479 	x: 0.37448 	n: 44
0.375479 - 0.377476 	x: 0.376477 	n: 63
0.377476 - 0.379472 	x: 0.378474 	n: 27
0.379472 - 0.381469 	x: 0.380471 	n: 22
0.381469 - 0.383466 	x: 0.382468 	n: 34
0.383466 - 0.385463 	x: 0.384465 	n: 31
0.385463 - 0.38746 	x: 0.386462 	n: 22
0.38746 - 0.389457 	x: 0.388459 	n: 21


The local maxima of the histogram are at:
0.2976 - 0.299596 	x: 0.298598 	n: 34
0.305587 - 0.307584 	x: 0.306586 	n: 60
0.309581 - 0.311578 	x: 0.310579 	n: 74
0.315572 - 0.317569 	x: 0.31657 	n: 112
0.331547 - 0.333544 	x: 0.332545 	n: 751
0.343528 - 0.345525 	x: 0.344527 	n: 733
0.357507 - 0.359504 	x: 0.358505 	n: 155
0.369488 - 0.371485 	x: 0.370486 	n: 81
0.375479 - 0.377476 	x: 0.376477 	n: 63
0.381469 - 0.383466 	x: 0.382468 	n: 34
