Configuration 2:  

(using maxima)

1 - 2 	 T:  0.8
1 - 3 	 T:  0.805
1 - 4 	 T:  0.8033333333333333
1 - 5 	 T:  0.8049999999999999
1 - 6 	 T:  0.8039999999999999
1 - 7 	 T:  0.805
1 - 8 	 T:  0.8042857142857143
1 - 9 	 T:  0.80375
1 - 10 	 T:  0.8044444444444445
1 - 11 	 T:  0.8039999999999999
1 - 12 	 T:  0.8045454545454546
1 - 13 	 T:  0.805
1 - 14 	 T:  0.8046153846153845
1 - 15 	 T:  0.8042857142857143
1 - 16 	 T:  0.804
1 - 17 	 T:  0.80375
1 - 18 	 T:  0.8041176470588235
1 - 19 	 T:  0.8044444444444445
1 - 20 	 T:  0.8042105263157895
1 - 21 	 T:  0.8045
1 - 22 	 T:  0.803809523809524
1 - 23 	 T:  0.8040909090909092
1 - 24 	 T:  0.8043478260869565
1 - 25 	 T:  0.8041666666666667
1 - 26 	 T:  0.8044000000000001
1 - 27 	 T:  0.8042307692307692
1 - 28 	 T:  0.804074074074074
1 - 29 	 T:  0.8039285714285714
1 - 30 	 T:  0.8041379310344827
1 - 31 	 T:  0.804
1 - 32 	 T:  0.8038709677419356
1 - 33 	 T:  0.8040625
1 - 34 	 T:  0.803939393939394
1 - 35 	 T:  0.8038235294117647
1 - 36 	 T:  0.804
1 - 37 	 T:  0.8038888888888889
1 - 38 	 T:  0.8040540540540541
1 - 39 	 T:  0.8042105263157895
1 - 40 	 T:  0.8038461538461539
1 - 41 	 T:  0.8039999999999999
1 - 42 	 T:  0.8039024390243903
1 - 43 	 T:  0.8040476190476189
1 - 44 	 T:  0.803953488372093
1 - 45 	 T:  0.8038636363636363
1 - 46 	 T:  0.8037777777777777
1 - 47 	 T:  0.8039130434782608
1 - 48 	 T:  0.8038297872340425
1 - 49 	 T:  0.80375
1 - 50 	 T:  0.803673469387755
1 - 51 	 T:  0.8036
1 - 52 	 T:  0.8037254901960783
2 - 3 	 T:  0.81
2 - 4 	 T:  0.8049999999999999
2 - 5 	 T:  0.8066666666666666
2 - 6 	 T:  0.8049999999999999
2 - 7 	 T:  0.806
2 - 8 	 T:  0.805
2 - 9 	 T:  0.8042857142857143
2 - 10 	 T:  0.805
2 - 11 	 T:  0.8044444444444444
2 - 12 	 T:  0.805
2 - 13 	 T:  0.8054545454545454
2 - 14 	 T:  0.805
2 - 15 	 T:  0.8046153846153847
2 - 16 	 T:  0.8042857142857144
2 - 17 	 T:  0.8039999999999999
2 - 18 	 T:  0.8043750000000001
2 - 19 	 T:  0.8047058823529412
2 - 20 	 T:  0.8044444444444445
2 - 21 	 T:  0.8047368421052631
2 - 22 	 T:  0.804
2 - 23 	 T:  0.8042857142857143
2 - 24 	 T:  0.8045454545454546
2 - 25 	 T:  0.8043478260869565
2 - 26 	 T:  0.8045833333333334
2 - 27 	 T:  0.8044
2 - 28 	 T:  0.8042307692307692
2 - 29 	 T:  0.804074074074074
2 - 30 	 T:  0.8042857142857143
2 - 31 	 T:  0.8041379310344827
2 - 32 	 T:  0.804
2 - 33 	 T:  0.8041935483870968
2 - 34 	 T:  0.8040625
2 - 35 	 T:  0.803939393939394
2 - 36 	 T:  0.8041176470588235
2 - 37 	 T:  0.804
2 - 38 	 T:  0.8041666666666667
2 - 39 	 T:  0.8043243243243243
2 - 40 	 T:  0.8039473684210526
2 - 41 	 T:  0.8041025641025641
2 - 42 	 T:  0.804
2 - 43 	 T:  0.8041463414634146
2 - 44 	 T:  0.8040476190476191
2 - 45 	 T:  0.803953488372093
2 - 46 	 T:  0.8038636363636363
2 - 47 	 T:  0.804
2 - 48 	 T:  0.803913043478261
2 - 49 	 T:  0.8038297872340425
2 - 50 	 T:  0.80375
2 - 51 	 T:  0.8036734693877552
2 - 52 	 T:  0.8038
3 - 4 	 T:  0.7999999999999998
3 - 5 	 T:  0.8049999999999999
3 - 6 	 T:  0.8033333333333332
3 - 7 	 T:  0.805
3 - 8 	 T:  0.8039999999999999
3 - 9 	 T:  0.8033333333333333
3 - 10 	 T:  0.8042857142857144
3 - 11 	 T:  0.80375
3 - 12 	 T:  0.8044444444444445
3 - 13 	 T:  0.805
3 - 14 	 T:  0.8045454545454546
3 - 15 	 T:  0.8041666666666667
3 - 16 	 T:  0.8038461538461539
3 - 17 	 T:  0.8035714285714286
3 - 18 	 T:  0.804
3 - 19 	 T:  0.8043750000000001
3 - 20 	 T:  0.8041176470588235
3 - 21 	 T:  0.8044444444444444
3 - 22 	 T:  0.8036842105263159
3 - 23 	 T:  0.8039999999999999
3 - 24 	 T:  0.8042857142857142
3 - 25 	 T:  0.804090909090909
3 - 26 	 T:  0.8043478260869565
3 - 27 	 T:  0.8041666666666666
3 - 28 	 T:  0.8039999999999999
3 - 29 	 T:  0.8038461538461538
3 - 30 	 T:  0.8040740740740739
3 - 31 	 T:  0.8039285714285713
3 - 32 	 T:  0.8037931034482758
