0 - 18 :	N:  0.32194008557805626
1 - 18 :	N:  0.31997774656137784
2 - 18 :	N:  0.31486673595438536
3 - 18 :	N:  0.30435410280149494
4 - 18 :	N:  0.27485098348674536
5 - 18 :	N:  0.1990117321354114
6 - 18 :	N:  0.10655818695792435
7 - 18 :	N:  0.0690375432163076
8 - 18 :	N:  0.04601748505167038
9 - 18 :	N:  0.03321434931250469
0 - 19 :	N:  0.29076510211588535
1 - 19 :	N:  0.28863179875512707
2 - 19 :	N:  0.2836448630775902
3 - 19 :	N:  0.2738061206928758
4 - 19 :	N:  0.2469919542116763
5 - 19 :	N:  0.1789045778660138
6 - 19 :	N:  0.09625913222899223
7 - 19 :	N:  0.06274669460231333
8 - 19 :	N:  0.042226760223320475
9 - 19 :	N:  0.030829676374910117
10 - 19 :	N:  0.022862415339380805
0 - 20 :	N:  0.26695645510418825
1 - 20 :	N:  0.2647492813418852
2 - 20 :	N:  0.25991909382654094
3 - 20 :	N:  0.2506586158933387
4 - 20 :	N:  0.2259505181953535
5 - 20 :	N:  0.16378197295423905
6 - 20 :	N:  0.08856630498034047
7 - 20 :	N:  0.05808654961389698
8 - 20 :	N:  0.039452007835377105
9 - 20 :	N:  0.029113321091504874
10 - 20 :	N:  0.021901971958085357
11 - 20 :	N:  0.016965333536954827
0 - 21 :	N:  0.24887922093552187
1 - 21 :	N:  0.24664922859535446
2 - 21 :	N:  0.24197470115728997
3 - 21 :	N:  0.23319152788814482
4 - 21 :	N:  0.21011736620731108
5 - 21 :	N:  0.1524547958542772
6 - 21 :	N:  0.08286174718765206
7 - 21 :	N:  0.05467528858306317
8 - 21 :	N:  0.03746317217391719
9 - 21 :	N:  0.027922228148874146
10 - 21 :	N:  0.021278936321075047
11 - 21 :	N:  0.016740837502576104
12 - 21 :	N:  0.013839347678961543
0 - 22 :	N:  0.2347595606877372
1 - 22 :	N:  0.2325320366565054
2 - 22 :	N:  0.2280015691469714
3 - 22 :	N:  0.21961496226260277
4 - 22 :	N:  0.19784016528129664
5 - 22 :	N:  0.1437102704677092
6 - 22 :	N:  0.07850533043185674
7 - 22 :	N:  0.05210767190344017
8 - 22 :	N:  0.036003162148185656
9 - 22 :	N:  0.027083023352842447
10 - 22 :	N:  0.020880860735894846
11 - 22 :	N:  0.016651677485978674
12 - 22 :	N:  0.013955052846497338
13 - 22 :	N:  0.013549734166321605
0 - 23 :	N:  0.2264138277786491
1 - 23 :	N:  0.22419812834260544
2 - 23 :	N:  0.21976606463569792
3 - 23 :	N:  0.21163102155997776
4 - 23 :	N:  0.19065298056110735
5 - 23 :	N:  0.13866479202402993
6 - 23 :	N:  0.07611132250640323
7 - 23 :	N:  0.050795545389003875
8 - 23 :	N:  0.03536112449404093
9 - 23 :	N:  0.026817781430501512
10 - 23 :	N:  0.020884016263230658
11 - 23 :	N:  0.01684395255618148
12 - 23 :	N:  0.014274905428105195
13 - 23 :	N:  0.013915409716148866
14 - 23 :	N:  0.013661282140074933
0 - 24 :	N:  0.22138585578727604
1 - 24 :	N:  0.21918230496974306
2 - 24 :	N:  0.21481681209993894
3 - 24 :	N:  0.20684408257016842
4 - 24 :	N:  0.18636813247282047
5 - 24 :	N:  0.13571873617575198
6 - 24 :	N:  0.07481916427149582
7 - 24 :	N:  0.050179328216695476
8 - 24 :	N:  0.03516413972175823
9 - 24 :	N:  0.02685767258458542
10 - 24 :	N:  0.02109339733133418
11 - 24 :	N:  0.017173879529399156
12 - 24 :	N:  0.01468801990524585
13 - 24 :	N:  0.014372251526282015
14 - 24 :	N:  0.014169789389130914
15 - 24 :	N:  0.014101096023954568
0 - 25 :	N:  0.21812032059518033
1 - 25 :	N:  0.21592754468922357
2 - 25 :	N:  0.21160988725281135
3 - 25 :	N:  0.2037499258886867
4 - 25 :	N:  0.1836166608469346
5 - 25 :	N:  0.13387541037680117
6 - 25 :	N:  0.07409607787573409
7 - 25 :	N:  0.049914963908911744
8 - 25 :	N:  0.03518481450559535
9 - 25 :	N:  0.0270402777577246
10 - 25 :	N:  0.02139248240078642
11 - 25 :	N:  0.017556668304816916
12 - 25 :	N:  0.015129951888460778
13 - 25 :	N:  0.014854903815606628
14 - 25 :	N:  0.014701449109233971
15 - 25 :	N:  0.01469310482863081
16 - 25 :	N:  0.01485299980860077
0 - 26 :	N:  0.2159889932367743
1 - 26 :	N:  0.2138049101636337
2 - 26 :	N:  0.2095212644274154
3 - 26 :	N:  0.20173953857061205
4 - 26 :	N:  0.18184083028003342
5 - 26 :	N:  0.13271824651740666
6 - 26 :	N:  0.07370126365719677
7 - 26 :	N:  0.04983289112235722
8 - 26 :	N:  0.03529742789327401
9 - 26 :	N:  0.027264046398280936
10 - 26 :	N:  0.021696601167659743
11 - 26 :	N:  0.017919066030176255
12 - 26 :	N:  0.01553437368549128
13 - 26 :	N:  0.015293933159692498
14 - 26 :	N:  0.01518250251108553
15 - 26 :	N:  0.0152262801267764
16 - 26 :	N:  0.015452018862787208
