4 - 14 :	N:  3.1853752126073673
5 - 14 :	N:  3.5302520305772918
6 - 14 :	N:  3.9851070608332284
7 - 14 :	N:  4.616785512297688
8 - 14 :	N:  5.527072749734164
9 - 14 :	N:  6.877733897820532
10 - 14 :	N:  9.029820835314984
5 - 15 :	N:  3.396344087481606
6 - 15 :	N:  3.7801797659301903
7 - 15 :	N:  4.299634301338594
8 - 15 :	N:  5.023580964118682
9 - 15 :	N:  6.050669428192931
10 - 15 :	N:  7.588014525215139
11 - 15 :	N:  10.01061637217945
6 - 16 :	N:  3.400794582875383
7 - 16 :	N:  3.8100866643048352
8 - 16 :	N:  4.366599729455473
9 - 16 :	N:  5.1303564644495925
10 - 16 :	N:  6.222536540243191
11 - 16 :	N:  7.83050191290633
12 - 16 :	N:  10.000114251166288
7 - 17 :	N:  3.370554568418708
8 - 17 :	N:  3.8040593352849377
9 - 17 :	N:  4.383959416166844
10 - 17 :	N:  5.184745783914011
11 - 17 :	N:  6.304048795875165
12 - 17 :	N:  7.6789956262063725
8 - 18 :	N:  3.3651342734168046
9 - 18 :	N:  3.8195987661438284
10 - 18 :	N:  4.430173099444158
11 - 18 :	N:  5.24927125237967
12 - 18 :	N:  6.179434943183409
9 - 19 :	N:  3.4124393428070814
10 - 19 :	N:  3.899401479925611
11 - 19 :	N:  4.5318144948680565
12 - 19 :	N:  5.204184142388929
10 - 20 :	N:  3.5234778385048897
11 - 20 :	N:  4.035328176864278
12 - 20 :	N:  4.550079152636506
11 - 21 :	N:  3.6556410306518026
12 - 21 :	N:  4.062163789835962
12 - 22 :	N:  3.6877320966179505
