4 - 14 :	N:  0.023287337739106115
5 - 14 :	N:  0.022511816790375824
6 - 14 :	N:  0.021756104108223664
7 - 14 :	N:  0.020897536930304092
8 - 14 :	N:  0.02033105931950136
9 - 14 :	N:  0.020478878603230014
10 - 14 :	N:  0.021569162193884342
5 - 15 :	N:  0.020847730586429122
6 - 15 :	N:  0.020497840249886337
7 - 15 :	N:  0.020298841219944068
8 - 15 :	N:  0.020629693340629626
9 - 15 :	N:  0.021676323322855413
10 - 15 :	N:  0.023770852342146445
11 - 15 :	N:  0.027841967939693638
6 - 16 :	N:  0.02029876098306789
7 - 16 :	N:  0.02047626404364907
8 - 16 :	N:  0.021253956605751897
9 - 16 :	N:  0.02268316371836435
10 - 16 :	N:  0.025084572556980905
11 - 16 :	N:  0.029224163824299335
12 - 16 :	N:  0.03201960274112266
7 - 17 :	N:  0.020550749271113763
8 - 17 :	N:  0.02132775165920571
9 - 17 :	N:  0.022638846791114844
10 - 17 :	N:  0.024722281875687185
11 - 17 :	N:  0.02811411635922844
12 - 17 :	N:  0.030150543021519698
8 - 18 :	N:  0.021101481846963244
9 - 18 :	N:  0.022150043608533985
10 - 18 :	N:  0.023786370748396124
11 - 18 :	N:  0.02636875293730859
12 - 18 :	N:  0.02769502879877932
9 - 19 :	N:  0.022179974371696796
10 - 19 :	N:  0.02369585724151756
11 - 19 :	N:  0.02600742859032564
12 - 19 :	N:  0.027122309255848572
10 - 20 :	N:  0.024645972139874517
11 - 20 :	N:  0.027167126072560208
12 - 20 :	N:  0.028456302006638304
11 - 21 :	N:  0.028019681447982805
12 - 21 :	N:  0.029406219212300064
12 - 22 :	N:  0.03013314096872292
