4 - 14 :	N:  0.9716690970872617
5 - 14 :	N:  0.9736572534377116
6 - 14 :	N:  0.9759695776436625
7 - 14 :	N:  0.9795432270263613
8 - 14 :	N:  0.9844418264793877
9 - 14 :	N:  0.9894232884718369
10 - 14 :	N:  0.9952176420462002
5 - 15 :	N:  0.9798143543155513
6 - 15 :	N:  0.9822446831273287
7 - 15 :	N:  0.9858485775604697
8 - 15 :	N:  0.9906672580255763
9 - 15 :	N:  0.9956016851331119
10 - 15 :	N:  1.0012883706512987
11 - 15 :	N:  1.008570396155424
6 - 16 :	N:  0.9859096294400248
7 - 16 :	N:  0.9893977968922444
8 - 16 :	N:  0.9939826121827452
9 - 16 :	N:  0.9986563279858653
10 - 16 :	N:  1.0039623938752313
11 - 16 :	N:  1.0105580220970232
12 - 16 :	N:  1.014153376609892
7 - 17 :	N:  0.990062995925222
8 - 17 :	N:  0.9942881188590706
9 - 17 :	N:  0.9985374484941799
10 - 17 :	N:  1.0032661887688055
11 - 17 :	N:  1.008975305398865
12 - 17 :	N:  1.0118048770395054
8 - 18 :	N:  0.9933114648595748
9 - 18 :	N:  0.997142981895995
10 - 18 :	N:  1.0013226681225695
11 - 18 :	N:  1.0062388998821512
12 - 18 :	N:  1.0083487372466278
9 - 19 :	N:  0.9972333117805559
10 - 19 :	N:  1.0011215319960773
11 - 19 :	N:  1.005624981723324
12 - 19 :	N:  1.0074630238125124
10 - 20 :	N:  1.0031159520171362
11 - 20 :	N:  1.0075336424958041
12 - 20 :	N:  1.0094745403514223
11 - 21 :	N:  1.0088356134967116
12 - 21 :	N:  1.0108079915118278
12 - 22 :	N:  1.0117820089372929
