Configuration 1:  

-0.048529 - -0.046532 	x: -0.04753 	n: 18
-0.046532 - -0.044535 	x: -0.045533 	n: 7
-0.044535 - -0.042538 	x: -0.043536 	n: 23
-0.042538 - -0.040541 	x: -0.04154 	n: 24
-0.040541 - -0.038544 	x: -0.039543 	n: 34
-0.038544 - -0.036547 	x: -0.037546 	n: 29
-0.036547 - -0.03455 	x: -0.035549 	n: 38
-0.03455 - -0.032553 	x: -0.033552 	n: 41
-0.032553 - -0.030557 	x: -0.031555 	n: 60
-0.030557 - -0.02856 	x: -0.029558 	n: 51
-0.02856 - -0.026563 	x: -0.027561 	n: 74
-0.026563 - -0.024566 	x: -0.025564 	n: 70
-0.024566 - -0.022569 	x: -0.023567 	n: 92
-0.022569 - -0.020572 	x: -0.021571 	n: 112
-0.020572 - -0.018575 	x: -0.019574 	n: 109
-0.018575 - -0.016578 	x: -0.017577 	n: 154
-0.016578 - -0.014581 	x: -0.01558 	n: 160
-0.014581 - -0.012584 	x: -0.013583 	n: 203
-0.012584 - -0.010588 	x: -0.011586 	n: 288
-0.010588 - -0.008591 	x: -0.009589 	n: 432
-0.008591 - -0.006594 	x: -0.007592 	n: 547
-0.006594 - -0.004597 	x: -0.005595 	n: 751
-0.004597 - -0.0026 	x: -0.003598 	n: 648
-0.0026 - -0.000603 	x: -0.001602 	n: 536
-0.000603 - 0.001394 	x: 0.000395 	n: 524
0.001394 - 0.003391 	x: 0.002392 	n: 567
0.003391 - 0.005388 	x: 0.004389 	n: 616
0.005388 - 0.007385 	x: 0.006386 	n: 733
0.007385 - 0.009381 	x: 0.008383 	n: 693
0.009381 - 0.011378 	x: 0.01038 	n: 585
0.011378 - 0.013375 	x: 0.012377 	n: 360
0.013375 - 0.015372 	x: 0.014374 	n: 233
0.015372 - 0.017369 	x: 0.016371 	n: 212
0.017369 - 0.019366 	x: 0.018367 	n: 152
0.019366 - 0.021363 	x: 0.020364 	n: 155
0.021363 - 0.02336 	x: 0.022361 	n: 114
0.02336 - 0.025357 	x: 0.024358 	n: 82
0.025357 - 0.027354 	x: 0.026355 	n: 80
0.027354 - 0.02935 	x: 0.028352 	n: 63
0.02935 - 0.031347 	x: 0.030349 	n: 53
0.031347 - 0.033344 	x: 0.032346 	n: 81
0.033344 - 0.035341 	x: 0.034343 	n: 62
0.035341 - 0.037338 	x: 0.03634 	n: 44
0.037338 - 0.039335 	x: 0.038336 	n: 63
0.039335 - 0.041332 	x: 0.040333 	n: 27
0.041332 - 0.043329 	x: 0.04233 	n: 22
0.043329 - 0.045326 	x: 0.044327 	n: 34
0.045326 - 0.047323 	x: 0.046324 	n: 31
0.047323 - 0.049319 	x: 0.048321 	n: 22
0.049319 - 0.051316 	x: 0.050318 	n: 21


The local maxima of the histogram are at:
-0.040541 - -0.038544 	x: -0.039543 	n: 34
-0.032553 - -0.030557 	x: -0.031555 	n: 60
-0.02856 - -0.026563 	x: -0.027561 	n: 74
-0.022569 - -0.020572 	x: -0.021571 	n: 112
-0.006594 - -0.004597 	x: -0.005595 	n: 751
0.005388 - 0.007385 	x: 0.006386 	n: 733
0.019366 - 0.021363 	x: 0.020364 	n: 155
0.031347 - 0.033344 	x: 0.032346 	n: 81
0.037338 - 0.039335 	x: 0.038336 	n: 63
0.043329 - 0.045326 	x: 0.044327 	n: 34
