Configuration 1:  

x: 0 	y: 0.0 	sigma: 0.021753696012932165
x: 4 	y: 0.023795675842683647 	sigma: 0.022017180003082296
x: 8 	y: 0.046564156209056365 	sigma: 0.02227817750735694
x: 12 	y: 0.06524522447993567 	sigma: 0.022498975336840945
x: 16 	y: 0.08428472274362257 	sigma: 0.02273032454347966
x: 20 	y: 0.08572719599629107 	sigma: 0.022748115680612923
x: 24 	y: 0.10369377092652171 	sigma: 0.02297286774315097
x: 28 	y: 0.10663746636042959 	sigma: 0.023010253558823357
x: 32 	y: 0.10958985272689761 	sigma: 0.0230479100323377
x: 36 	y: 0.1105759217169611 	sigma: 0.023060522785666622
x: 40 	y: 0.11750865276344623 	sigma: 0.023149707757345345
x: 44 	y: 0.10956979746031234 	sigma: 0.0230476536930069
x: 48 	y: 0.11156296399888953 	sigma: 0.023073165998503682
