Configuration 3:  

x: 0.28 	y: 2.2213879676299344 	sigma: 0.03150744107816292
x: 6.435 	y: 2.2941462564121387 	sigma: 0.033605201642848075
x: 12.59 	y: 2.339383759530065 	sigma: 0.034943567686062764
x: 18.73 	y: 2.37668566430741 	sigma: 0.03606681529084937
x: 24.88 	y: 2.406194507139179 	sigma: 0.03696798374810276
x: 31.035 	y: 2.4293248663263993 	sigma: 0.03768213435074443
x: 37.22 	y: 2.443768878114583 	sigma: 0.0381315590150769
x: 43.325 	y: 2.4643349129720127 	sigma: 0.03877606745395256
x: 49.47 	y: 2.477995400840536 	sigma: 0.03920715182711738
x: 55.615 	y: 2.4790520105111806 	sigma: 0.039240594575126235
x: 61.675 	y: 2.4970534768972614 	sigma: 0.03981254944830816
x: 67.84 	y: 2.498126405196103 	sigma: 0.03984676993129499
x: 74.045 	y: 2.5057632554876217 	sigma: 0.04009076795241868
x: 80.19 	y: 2.5090073363374517 	sigma: 0.04019464199697277
x: 86.325 	y: 2.5166096235152002 	sigma: 0.04043859038812598
x: 92.47 	y: 2.520974507905776 	sigma: 0.04057898788344976
x: 98.605 	y: 2.5242581205383736 	sigma: 0.040684766386331526
