Configuration 3:  

x: 0.28 	y: 2.2213879676299344 	sigma: 0.03150744107816292
x: 3.795 	y: 2.260254775918342 	sigma: 0.0326196347359964
x: 7.32 	y: 2.292337175290439 	sigma: 0.033552222836006715
x: 10.825 	y: 2.3153829411846427 	sigma: 0.03423024132914791
x: 14.34 	y: 2.351685099958375 	sigma: 0.03531202615894388
x: 17.86 	y: 2.3728057478846436 	sigma: 0.03594915395364214
x: 21.38 	y: 2.3913490556562578 	sigma: 0.036513229631249186
x: 24.88 	y: 2.406194507139179 	sigma: 0.03696798374810276
x: 28.4 	y: 2.4202233866185847 	sigma: 0.03740031059871244
x: 31.92 	y: 2.4323739239785853 	sigma: 0.03777678377728083
x: 35.43 	y: 2.443619587077162 	sigma: 0.038126900206160955
x: 38.93 	y: 2.4518637842556017 	sigma: 0.03838459654743556
x: 42.45 	y: 2.4622475888440487 	sigma: 0.03871040759344525
x: 45.965 	y: 2.4706242773423988 	sigma: 0.03897424508109847
x: 49.47 	y: 2.477995400840536 	sigma: 0.03920715182711738
x: 53.0 	y: 2.4721084365644614 	sigma: 0.039021084545826513
x: 56.455 	y: 2.478935247732394 	sigma: 0.03923689821624181
x: 60.005 	y: 2.485410639545866 	sigma: 0.03944215257446872
x: 63.52 	y: 2.49180197151372 	sigma: 0.03964526751540852
x: 67.015 	y: 2.496081152590433 	sigma: 0.039781550374281265
x: 70.54 	y: 2.501450841488063 	sigma: 0.03995289441737049
x: 74.045 	y: 2.5057632554876217 	sigma: 0.04009076795241868
x: 77.555 	y: 2.5090073363374517 	sigma: 0.04019464199697277
x: 81.065 	y: 2.512259827960447 	sigma: 0.04029892026720109
x: 84.535 	y: 2.513257432958858 	sigma: 0.040330931594948265
x: 88.075 	y: 2.514091482760875 	sigma: 0.04035770448866479
x: 91.575 	y: 2.5176994269716104 	sigma: 0.04047362137371998
x: 95.1 	y: 2.520974507905776 	sigma: 0.04057898788344976
x: 98.605 	y: 2.5242581205383736 	sigma: 0.040684766386331526
