Configuration 2:  

x: 0 	y: 0.0 	sigma: 0.03967582880951927
x: 4 	y: 0.02309717821372035 	sigma: 0.04014203755633123
x: 8 	y: 0.033791851137302195 	sigma: 0.040363402662321295
x: 12 	y: 0.04594321966022504 	sigma: 0.04061921681993114
x: 16 	y: 0.055802460599714054 	sigma: 0.04083017785993849
x: 20 	y: 0.06522842759049853 	sigma: 0.041034751426579606
x: 24 	y: 0.07440890451976866 	sigma: 0.04123673578269436
x: 28 	y: 0.08101484113675606 	sigma: 0.0413837642508626
x: 32 	y: 0.09112328921224419 	sigma: 0.04161150942067346
x: 36 	y: 0.09582341491232442 	sigma: 0.04171855070570163
x: 40 	y: 0.10015135652012437 	sigma: 0.04181776407837918
x: 44 	y: 0.1041021695074368 	sigma: 0.041908877451764
x: 48 	y: 0.10727409694429867 	sigma: 0.04198240645730488
x: 52 	y: 0.11085458297802213 	sigma: 0.04206581268774691
