frequency;amplitude
1.288;3.210
1.285;3.430
1.283;3.590
1.281;3.770
1.280;3.910
1.279;4.030
1.278;4.120
1.277;4.200
1.275;4.580
1.273;4.850
1.270;5.280
1.265;6.530
1.261;7.600
1.258;8.800
1.255;10.700
1.253;13.300
1.252;14.600
1.251;16.100
1.250;18.600
1.249;21.200
1.248;23.400
1.247;25.500
1.246;27.700
1.245;29.700
1.244;30.800
1.243;29.600
1.242;27.500
1.241;25.600
1.240;23.000
1.239;20.700
1.238;18.800
1.237;16.900
1.236;15.200
1.235;13.900
1.232;10.900
1.230;9.270
1.225;6.560
1.215;4.600
