h0;h1;h2;h3;h4;h5;h6;h6p;h7;h8
0.431393;0.391112;0.351224;0.30616;0.263327;0.221364;0.176304;0.314085;0.269196;0.228258
0.431032;0.391464;0.351231;0.30608;0.263493;0.221368;0.176121;0.313803;0.268669;0.227737
0.431032;0.391636;0.351052;0.308396;0.263843;0.221192;0.176465;0.31167;0.268492;0.227393
0.431041;0.391808;0.351052;0.308396;0.264015;0.221192;0.176812;0.311492;0.268492;0.227049
0.43086;0.391972;0.351066;0.308396;0.264192;0.221192;0.176984;0.311417;0.268492;0.226705
0.430869;0.392324;0.350722;0.308396;0.264187;0.221192;0.177153;0.313556;0.268492;0.226361
0.430697;0.392488;0.350378;0.308396;0.264353;0.221192;0.177497;0.313575;0.268497;0.226017
0.430525;0.392832;0.350027;0.308396;0.264703;0.221192;0.177844;0.313128;0.26832;0.225673
0.430353;0.393192;0.349855;0.308402;0.264875;0.221192;0.178013;0.310638;0.26832;0.225325
0.430172;0.3932;0.349683;0.308224;0.265057;0.221192;0.178357;0.310398;0.26832;0.225153
0.430163;0.393028;0.349511;0.30823;0.26488;0.221192;0.178701;0.31218;0.26832;0.224985
0.430344;0.392848;0.349346;0.308058;0.264875;0.221192;0.179045;0.312192;0.26832;0.224636
0.430335;0.392864;0.348995;0.30788;0.265052;0.221192;0.179389;0.311848;0.26832;0.22446
0.430516;0.392512;0.348823;0.30788;0.265057;0.221192;0.179736;0.311579;0.26832;0.224464
0.430507;0.39234;0.348644;0.307886;0.26488;0.221192;0.179905;0.309096;0.268315;0.224288
0.430679;0.392168;0.348644;0.307708;0.264885;0.221192;0.180252;0.308746;0.268492;0.224288
0.43086;0.392012;0.348637;0.307714;0.264713;0.221192;0.180424;0.308494;0.268492;0.224288
0.430851;0.391488;0.348809;0.307542;0.264547;0.221192;0.180596;0.310638;0.268492;0.224284
0.431032;0.391144;0.348988;0.307438;0.264192;0.221192;0.180772;0.310472;0.268492;0.224456
0.431023;0.390792;0.348988;0.3053;0.264192;0.221192;0.180768;0.310197;0.268492;0.224628
0.431204;0.39062;0.348974;0.3053;0.264203;0.221192;0.180948;0.307886;0.268492;0.2248
0.431204;0.39044;0.349325;0.3053;0.263859;0.221192;0.180772;0.307634;0.268492;0.224972
0.431213;0.39044;0.349483;0.3053;0.263509;0.221192;0.180776;0.309766;0.268492;0.225139
0.431032;0.390432;0.350006;0.3053;0.263337;0.221192;0.180604;0.309944;0.268492;0.225483
0.431041;0.390612;0.350357;0.3053;0.263165;0.221192;0.180432;0.309938;0.268487;0.225831
0.430877;0.390604;0.350529;0.305294;0.262993;0.221192;0.180263;0.310122;0.268664;0.225999
0.430516;0.390776;0.350701;0.305472;0.262816;0.221192;0.179916;0.309944;0.268664;0.226343
0.430525;0.39094;0.350873;0.305466;0.262821;0.221192;0.179747;0.309932;0.268664;0.226687
0.430353;0.391284;0.351045;0.305644;0.262649;0.221192;0.179403;0.310276;0.268664;0.227031
0.430172;0.391628;0.351217;0.305638;0.262472;0.221192;0.179056;0.31062;0.268664;0.227375
0.430163;0.391964;0.351396;0.305816;0.262472;0.221188;0.178887;0.31097;0.268664;0.227719
0.430344;0.392496;0.351396;0.305743;0.262467;0.221364;0.17854;0.311142;0.268659;0.228063
0.430344;0.392676;0.351403;0.307874;0.262644;0.221368;0.178371;0.311314;0.268836;0.228411
0.430335;0.392668;0.351231;0.30812;0.262639;0.221192;0.178024;0.31148;0.268836;0.228579
0.430516;0.39284;0.351066;0.30616;0.262816;0.221192;0.177852;0.311817;0.268836;0.228927
0.430507;0.393028;0.350715;0.30616;0.262811;0.221192;0.177683;0.31234;0.268836;0.229099
0.430679;0.392848;0.350536;0.30616;0.262983;0.221192;0.177332;0.31269;0.268836;0.229271
0.430851;0.39284;0.350543;0.306154;0.263155;0.221192;0.177336;0.312862;0.268836;0.229448
0.431032;0.39302;0.350385;0.306332;0.263321;0.221192;0.177164;0.313034;0.268836;0.229448
0.431023;0.393036;0.349862;0.306332;0.263671;0.221192;0.176988;0.313206;0.268841;0.229443
0.431204;0.3927;0.349511;0.306338;0.263843;0.221192;0.176992;0.313371;0.268664;0.229625
0.431204;0.392168;0.349346;0.30616;0.264015;0.221192;0.176816;0.313722;0.268664;0.229448
0.431213;0.392004;0.348995;0.30616;0.264187;0.221188;0.176816;0.313894;0.268664;0.229453
0.431032;0.391668;0.348816;0.306166;0.264359;0.221368;0.176816;0.314078;0.268664;0.229281
0.431041;0.391136;0.348816;0.305988;0.264531;0.221192;0.176816;0.313906;0.268664;0.229109
0.430869;0.390956;0.348823;0.305994;0.264703;0.221192;0.176812;0.313728;0.268664;0.228937
0.430688;0.390948;0.348651;0.305816;0.26488;0.221192;0.176984;0.313722;0.268664;0.228769
0.430697;0.391144;0.348465;0.305816;0.26488;0.221192;0.177156;0.3139;0.268664;0.228425
0.430516;0.390792;0.348637;0.305822;0.26488;0.221192;0.177328;0.313906;0.268664;0.228077
0.430525;0.390612;0.348809;0.305577;0.26488;0.221188;0.1775;0.313747;0.268669;0.227909
0.430344;0.390604;0.348981;0.307536;0.26488;0.221368;0.177672;0.313293;0.268492;0.227565
0.430344;0.390784;0.349139;0.307536;0.26488;0.221192;0.177844;0.310988;0.268492;0.227221
0.430344;0.390768;0.349669;0.307536;0.26488;0.221188;0.178013;0.310564;0.268492;0.226877
0.430335;0.391105;0.349848;0.307542;0.264885;0.221364;0.17836;0.31253;0.268492;0.226533
0.430516;0.391628;0.349834;0.307364;0.264713;0.221364;0.178529;0.312364;0.268492;0.226189
0.430507;0.39198;0.350178;0.307364;0.264541;0.221364;0.178876;0.312095;0.268492;0.225845
0.430679;0.392152;0.350529;0.307364;0.264375;0.221364;0.179045;0.309612;0.268492;0.225497
0.430851;0.392324;0.350701;0.307358;0.264025;0.221364;0.179392;0.309268;0.268492;0.225329
0.431032;0.392496;0.350866;0.307536;0.263848;0.221364;0.179564;0.308918;0.268492;0.22498
0.431023;0.392668;0.351224;0.307536;0.263859;0.221364;0.179736;0.308672;0.268492;0.224808
0.431204;0.392848;0.351224;0.30753;0.263509;0.221364;0.179908;0.310638;0.268492;0.224636
0.431204;0.39284;0.351231;0.307708;0.263343;0.221364;0.18008;0.310547;0.268492;0.224464
