h1;h2;h3;h4;h5;h6;h7;h8
0.584937;0.558656;0.532641;0.507056;0.482613;0.459584;0.433431;0.410736
0.585441;0.558656;0.533329;0.507056;0.482966;0.459575;0.433603;0.410752
0.586153;0.558645;0.534017;0.507056;0.483129;0.459765;0.433784;0.410408
0.586508;0.558828;0.534716;0.507046;0.483482;0.459584;0.433784;0.410073
0.586692;0.558817;0.535221;0.507208;0.483654;0.459593;0.433775;0.409548
0.586692;0.559;0.535931;0.507552;0.483826;0.459421;0.433947;0.409221
0.586704;0.559;0.536264;0.507896;0.483998;0.45924;0.434111;0.408525
0.586555;0.558978;0.536791;0.50824;0.484161;0.45924;0.434472;0.408008
0.586027;0.559333;0.537156;0.508573;0.484505;0.45924;0.434472;0.407484
0.585695;0.559494;0.537156;0.5091;0.484858;0.45924;0.434472;0.407157
0.585179;0.559838;0.537177;0.509433;0.48504;0.45924;0.434472;0.40646
0.584663;0.560193;0.536823;0.50996;0.48504;0.459231;0.434472;0.405831
0.584147;0.560365;0.536672;0.510304;0.48504;0.459403;0.434481;0.407926
0.583608;0.560559;0.536145;0.510648;0.48504;0.459584;0.434309;0.405412
0.583436;0.560376;0.535823;0.511002;0.48504;0.459575;0.434137;0.40524
0.583252;0.560376;0.535124;0.511174;0.48504;0.459747;0.433965;0.405068
0.58324;0.560387;0.534619;0.511356;0.48504;0.459919;0.433793;0.404888
0.583401;0.560204;0.533931;0.511356;0.48505;0.460091;0.433621;0.404888
0.583745;0.560204;0.533232;0.511366;0.484887;0.460263;0.43344;0.40488
0.584077;0.560215;0.532716;0.511194;0.484543;0.460435;0.43344;0.405044
0.584593;0.560054;0.532189;0.511032;0.48419;0.460607;0.43344;0.405388
0.585109;0.55971;0.531835;0.510688;0.484018;0.460788;0.433449;0.405732
0.585637;0.559366;0.531663;0.510344;0.483846;0.460779;0.433268;0.406068
0.585981;0.559022;0.53148;0.51;0.483674;0.46096;0.433268;0.406592
0.586325;0.558656;0.531469;0.509667;0.483502;0.46096;0.433268;0.406928
0.586692;0.558656;0.531631;0.50914;0.483339;0.460951;0.433268;0.407444
0.586692;0.558645;0.531964;0.508807;0.482986;0.461132;0.433268;0.407951
0.586715;0.558828;0.53248;0.50828;0.482804;0.461132;0.433268;0.408647
0.586371;0.558828;0.532985;0.507926;0.482804;0.461141;0.433268;0.409163
0.586039;0.558828;0.533684;0.507754;0.482804;0.460969;0.433268;0.409679
