time;position
0.000;0.367705
0.010;0.364742
0.020;0.362123
0.030;0.35985
0.040;0.357903
0.050;0.356509
0.060;0.355251
0.070;0.354527
0.080;0.354148
0.090;0.354113
0.100;0.354403
0.110;0.355228
0.120;0.356396
0.130;0.357907
0.140;0.359762
0.150;0.361961
0.160;0.364502
0.170;0.367387
0.180;0.370615
0.190;0.374186
0.200;0.378099
0.210;0.382413
0.220;0.386517
0.230;0.390772
0.240;0.39541
0.250;0.400248
0.260;0.402948
0.270;0.407778
0.280;0.412374
0.290;0.417355
0.300;0.422336
0.310;0.427316
0.320;0.432103
0.330;0.438868
0.340;0.44355
0.350;0.447867
0.360;0.45199
0.370;0.456158
0.380;0.459961
0.390;0.463592
0.400;0.467052
0.410;0.470388
0.420;0.473185
0.430;0.475639
0.440;0.477749
0.450;0.47954
0.460;0.480792
0.470;0.481724
0.480;0.482116
0.490;0.482164
0.500;0.481868
0.510;0.481252
0.520;0.480096
0.530;0.478595
0.540;0.47675
0.550;0.47456
0.560;0.472025
0.570;0.469381
0.580;0.464199
0.590;0.460607
0.600;0.456841
0.610;0.452903
0.620;0.448793
0.630;0.44451
0.640;0.440054
0.650;0.435426
0.660;0.430624
0.670;0.425608
0.680;0.420806
0.690;0.41579
0.700;0.410947
0.710;0.406053
0.720;0.403713
0.730;0.399043
0.740;0.394525
0.750;0.390392
0.760;0.38624
0.770;0.38228
0.780;0.378281
0.790;0.374647
0.800;0.371166
0.810;0.368012
0.820;0.365412
0.830;0.362966
0.840;0.360846
0.850;0.35928
0.860;0.357849
0.870;0.356936
0.880;0.356574
0.890;0.356348
0.900;0.356657
0.910;0.357327
0.920;0.358133
0.930;0.359454
0.940;0.361327
0.950;0.363335
0.960;0.365895
0.970;0.368608
0.980;0.371664
0.990;0.375082
1.000;0.378671
1.010;0.382432
1.020;0.386364
1.030;0.390487
1.040;0.394591
1.050;0.398885
1.060;0.403381
1.070;0.405737
1.080;0.410162
1.090;0.414971
1.100;0.41978
1.110;0.42459
1.120;0.42942
1.130;0.434058
1.140;0.438718
1.150;0.443206
1.160;0.447545
1.170;0.451519
1.180;0.455322
1.190;0.458976
1.200;0.46201
1.210;0.467318
1.220;0.469919
1.230;0.472373
1.240;0.474506
1.250;0.476078
1.260;0.477548
1.270;0.47826
1.280;0.478824
1.290;0.479044
1.300;0.47892
1.310;0.478476
1.320;0.477467
1.330;0.476334
1.340;0.474637
1.350;0.472768
1.360;0.47075
1.370;0.46841
1.380;0.465507
1.390;0.462454
1.400;0.45931
1.410;0.453397
1.420;0.449459
